"crime_type","year","total","percent_change","change_from_2023"
"All Other Offenses",2023,14,NA,0
"All Other Offenses",2024,16,14.2857142857143,14.2857142857143
"All Other Offenses",2025,6,-62.5,-57.1428571428571
"Assisting or Promoting Prostitution",2024,4,NA,0
"Disorderly Conduct",2023,14,NA,0
"Disorderly Conduct",2024,12,-14.2857142857143,-14.2857142857143
"Disorderly Conduct",2025,7,-41.6666666666667,-50
"Driving Under the Influence",2023,97,NA,0
"Driving Under the Influence",2024,138,42.2680412371134,42.2680412371134
"Driving Under the Influence",2025,118,-14.4927536231884,21.6494845360825
"Drug Equipment Violations",2023,3,NA,0
"Drug Equipment Violations",2024,9,200,200
"Drug Equipment Violations",2025,6,-33.3333333333333,100
"Drug/Narcotic Violations",2023,31,NA,0
"Drug/Narcotic Violations",2024,28,-9.67741935483871,-9.67741935483871
"Drug/Narcotic Violations",2025,11,-60.7142857142857,-64.5161290322581
"Liquor Law Violations",2024,3,NA,0
"Pornography/Obscene Material",2025,1,NA,0
"Purchasing Prostitution",2023,1,NA,0
"Society Crimes - Total",2023,177,NA,0
"Society Crimes - Total",2024,222,25.4237288135593,25.4237288135593
"Society Crimes - Total",2025,158,-28.8288288288288,-10.7344632768362
"Trespassing of Real Property",2023,13,NA,0
"Trespassing of Real Property",2024,12,-7.69230769230769,-7.69230769230769
"Trespassing of Real Property",2025,5,-58.3333333333333,-61.5384615384615
"Weapon Law Violations",2023,4,NA,0
"Weapon Law Violations",2025,4,0,0
