"crime_type","year_2023","year_2024","year_2025","change_2023_to_2024","change_2024_to_2025","change_2023_to_2025"
"Drug/Narcotic Violations",31,28,11,-9.67741935483871,-60.7142857142857,-64.5161290322581
"Drug Equipment Violations",3,9,6,200,-33.3333333333333,100
"Purchasing Prostitution",1,NA,NA,NA,NA,NA
"Weapon Law Violations",4,NA,4,NA,NA,0
"Disorderly Conduct",14,12,7,-14.2857142857143,-41.6666666666667,-50
"Driving Under the Influence",97,138,118,42.2680412371134,-14.4927536231884,21.6494845360825
"Trespassing of Real Property",13,12,5,-7.69230769230769,-58.3333333333333,-61.5384615384615
"All Other Offenses",14,16,6,14.2857142857143,-62.5,-57.1428571428571
"Society Crimes - Total",177,222,158,25.4237288135593,-28.8288288288288,-10.7344632768362
"Assisting or Promoting Prostitution",NA,4,NA,NA,NA,NA
"Liquor Law Violations",NA,3,NA,NA,NA,NA
"Pornography/Obscene Material",NA,NA,1,NA,NA,NA
