"UMPD Case Number","Date Occurred","Report Date","Crime Type","Disposition","col_1","address"
"2025-00216773","10/01/2025 01:36:00","10/01/2025 - 01:36","Burglary","Arrest",NA,"Alpha Sigma Phi, Frat 9 at 9 Fraternity Row"
"2025-00216789","10/01/2025 02:52:00","10/01/2025 - 02:52","DWI/DUI","Arrest",NA,"8500 block of Paint Branch Dr"
"2025-00216904","10/01/2025 08:02:00","10/01/2025 - 08:02","Damage to State Property","CBE",NA,"6900 block of Preinkert Dr"
"2025-00217098","10/01/2025 11:37:00","10/01/2025 - 11:37","Other Incident","CBE",NA,"7500 block of Baltimore Ave"
"2025-00217149","10/01/2025 15:14:00","10/01/2025 - 15:14","Theft","CBE",NA,"3900 block of Campus Dr"
"2025-00217188","10/01/2025 11:00:00","10/01/2025 - 16:33","Other Incident","Active/Pending",NA,"McKeldin Mall"
"2025-00217261","10/01/2025 18:18:00","10/01/2025 - 18:18","Recovered Stolen Motor Vehicle","CBE",NA,"University Blvd"
"2025-00217834","10/02/2025 09:02:00","10/02/2025 - 09:02","Alarm","CBE",NA,"8200 block of Paint Branch Dr"
"2025-00217927","10/01/2025 12:01:00","10/02/2025 - 12:01","Other Incident","CBE",NA,"8200 block of Paint Branch Dr"
"2025-00217933","10/02/2025 12:12:00","10/02/2025 - 12:12","Suspicious Activity","CBE",NA,"Adelphi Rd"
"2025-00218197","10/02/2025 12:30:00","10/02/2025 - 19:36","Injured/Sick Person","CBE",NA,"7000 block of Preinkert Dr"
"2025-00218242","10/02/2025 21:25:00","10/02/2025 - 21:25","Injured/Sick Person","CBE",NA,"3800 block of Golf Course Rd"
"2025-00218370","10/02/2025 23:41:00","10/02/2025 - 23:41","DWI/DUI","Arrest",NA,"Baltimore Ave"
"2025-00218746","10/03/2025 04:00:00","10/03/2025 - 04:26","Dept Property Damage/Loss","CBE",NA,"Hillel Jewish Center, Rosenbloom Hillel Jewish Center at 7612 Mowatt Ln"
"2025-00218868","10/02/2025 10:45:00","10/03/2025 - 08:53","Theft","Active/Pending",NA,"7700 block of Alumni Dr"
"2025-00218902","10/03/2025 10:00:00","10/03/2025 - 10:00","Emergency Petition","CBE",NA,"4200 block of Lehigh Rd"
"2025-00218905","10/03/2025 09:30:00","10/03/2025 - 10:04","Other Incident","Active/Pending",NA,"7900 block of Regents Dr"
"2025-00219061","10/02/2025 22:30:00","10/03/2025 - 13:51","Theft","Active/Pending",NA,"3900 block of Denton Service Ln"
"2025-00219067","10/03/2025 13:55:00","10/03/2025 - 13:58","Other Incident","CBE",NA,"Paint Branch Dr"
