"UMPD Case Number","Date Occurred","Report Date","Crime Type","Disposition","col_1","address"
"2023-00086835","10/01/2023 02:31:00","10/01/2023 - 02:31","Injured/Sick Person","CBE",NA,"7400 block of Baltimore Ave"
"2023-00086956","10/01/2023 00:01:00","10/01/2023 - 12:33","Vandalism","Investigation Pending",NA,"Commons 6, SCC 6, South Campus Commons 6 at 6901 Preinkert Dr"
"2023-00086973","10/01/2023 14:05:00","10/01/2023 - 14:05","Injured/Sick Person","CBE",NA,"Field Hockey & Women's Lacrosse Stadium at 8483 Paint Branch Dr"
"2023-00086978","10/01/2023 14:24:00","10/01/2023 - 14:24","Injured/Sick Person","CBE",NA,"Chapel Field"
"2023-00086986","10/01/2023 15:59:00","10/01/2023 - 15:59","Injured/Sick Person","CBE",NA,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
"2023-00087006","09/30/2023 22:00:00","10/01/2023 - 17:03","Assist Other Agency","CBE",NA,"Dunkin DonutsLandmark Apartments at 4500 College Ave"
"2023-00087054","09/29/2023 18:00:00","10/01/2023 - 20:52","Assist Other Agency","CBE",NA,"4200 block of Knox Rd"
"2023-00087058","10/01/2023 17:30:00","10/01/2023 - 21:08","Theft","Investigation Pending",NA,"Denton, Denton Hall at 3854 Stadium Dr"
"2023-00087218","10/01/2023 19:00:00","10/02/2023 - 11:07","Theft","Investigation Pending",NA,"Denton, Denton Hall at 3854 Stadium Dr"
"2023-00087216","10/01/2023 13:00:00","10/02/2023 - 11:14","Theft","Investigation Pending",NA,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
"2023-00087217","10/02/2023 11:18:00","10/02/2023 - 11:21","Fire","CBE",NA,"Microbiology, Microbiology Building at 4062 Campus Dr"
"2023-00087222","09/28/2023 17:00:00","10/02/2023 - 11:49","Theft","Investigation Pending",NA,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
"2023-00087239","10/01/2023 17:00:00","10/02/2023 - 13:23","Theft","Investigation Pending",NA,"La Plata Hall at 8160 La Plata Dr"
"2023-00087249","10/02/2023 12:00:00","10/02/2023 - 13:33","Theft","Investigation Pending",NA,"26, South Campus Dining Hall at 7093 Preinkert Dr"
"2023-00087263","09/27/2023 19:30:00","10/02/2023 - 16:59","Theft","Investigation Pending",NA,"Yahentamitsi at 4136 Stadium Dr"
"2023-00087273","10/02/2023 15:20:00","10/02/2023 - 18:04","Theft","Investigation Pending",NA,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
"2023-00087517","10/03/2023 12:52:00","10/03/2023 - 12:52","Injured/Sick Person","CBE",NA,"84, Kirwan Hall, Mathematics, Mathematics Building, William E. Kirwan Hall, William Kirwan Hall at 4176 Campus Dr"
"2023-00087551","09/30/2023 20:58:00","10/03/2023 - 14:02","Theft","Investigation Pending",NA,"Nyumburu, Nyumburu Cultural Center at 4018 Campus Dr"
"2023-00087596","09/25/2023 12:30:00","10/03/2023 - 16:47","Theft","Investigation Pending",NA,"Architecture, Architecture Building at 3835 Campus Dr"
"2023-00087595","10/03/2023 16:45:00","10/03/2023 - 16:51","Injured/Sick Person","CBE",NA,"71, Lee Building, South Administration at 7809 Regents Dr"
"2023-00087613","10/01/2023 21:00:00","10/03/2023 - 17:55","Vandalism","Investigation Pending",NA,"University Courtyard #3 at 8300 Boteler Ln"
"2023-00087819","10/04/2023 08:33:00","10/04/2023 - 08:33","Pedestrian Struck","CBE",NA,"Greenmead Dr"
"2023-00087843","10/04/2023 10:15:00","10/04/2023 - 10:25","Assist Other Agency","Active/Pending",NA,"University Blvd"
"2023-00087847","10/03/2023 15:00:00","10/04/2023 - 13:39","Theft","Investigation Pending",NA,"Denton, Denton Hall at 3854 Stadium Dr"
"2023-00087892","10/02/2023 18:45:00","10/04/2023 - 16:25","Traffic Offense","Active/Pending",NA,"Lot Q"
"2023-00087918","10/04/2023 19:08:00","10/04/2023 - 19:08","Other Incident","CBE",NA,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
"2023-00088153","10/05/2023 11:31:00","10/05/2023 - 11:31","CDS Violation","CBE",NA,"4300 block of Knox Rd"
"2023-00088233","10/05/2023 16:34:00","10/05/2023 - 16:34","Carjacking","Active/Pending",NA,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
"2023-00088235","10/05/2023 16:00:00","10/05/2023 - 17:38","Domestic","CBE",NA,"8000 block of La Plata Dr"
"2023-00088238","10/03/2023 16:00:00","10/05/2023 - 18:14","Theft","Investigation Pending",NA,"Easton, Easton Hall at 3917 Denton Service Ln"
"2023-00088257","10/05/2023 19:50:00","10/05/2023 - 20:45","Assist Other Agency","CBE",NA,"3900 block of 53rd Pl"
