Fips_Code,County,Cox,Moore,Lashar,Wallace,Harding,Write-ins,total,Moore_pct
24031,Montgomery,54968,191695,3013,2146,1551,0,253373,75.7
24005,Baltimore County,76242,117356,3636,1482,2200,0,200916,58.4
24033,Prince George's,16903,161692,999,1593,1888,0,183075,88.3
24003,Anne Arundel,72806,83643,3446,948,1247,0,162090,51.6
24510,Baltimore City,11140,107563,1237,1180,1391,0,122511,87.8
24027,Howard,33110,83690,2464,802,713,0,120779,69.3
24025,Harford,51065,38139,1948,598,886,0,92636,41.2
24021,Frederick,40178,38581,1456,468,606,0,81289,47.5
24013,Carroll,38969,25155,1515,436,561,0,66636,37.7
24017,Charles,15096,33633,408,283,414,0,49834,67.5
24043,Washington,26943,15723,614,252,472,0,44004,35.7
24037,Saint Mary's,20279,13291,661,253,346,0,34830,38.2
24009,Calvert,18447,14236,504,142,242,0,33571,42.4
24015,Cecil,18159,8691,472,155,311,0,27788,31.3
24045,Wicomico,14612,12213,388,171,358,0,27742,44
24047,Worcester,13433,8550,273,121,161,0,22538,37.9
24035,Queen Anne's,12840,8577,416,120,212,0,22165,38.7
24001,Allegany,13833,6390,279,143,267,0,20912,30.6
24041,Talbot,7497,7989,289,70,128,0,15973,50
24023,Garrett,8195,2402,194,52,138,0,10981,21.9
24019,Dorchester,6169,4341,139,69,157,0,10875,39.9
24011,Caroline,6727,3276,176,56,140,0,10375,31.6
24029,Kent,3718,4256,106,56,93,0,8229,51.7
24039,Somerset,3974,2254,67,46,81,0,6422,35.1
